,city,statecode,date,sold,value,region
67,"Akron, OH",OH,2013-09-01,494.0,115503.88770233776,Midwest
68,"Akron, OH",OH,2013-10-01,513.0,115822.49570756842,Midwest
69,"Akron, OH",OH,2013-11-01,393.0,116023.04235329032,Midwest
70,"Akron, OH",OH,2013-12-01,432.0,116318.41220776628,Midwest
71,"Akron, OH",OH,2014-01-01,288.0,116263.8953463026,Midwest
72,"Akron, OH",OH,2014-02-01,285.0,116071.2934969056,Midwest
73,"Akron, OH",OH,2014-03-01,388.0,115824.59711330442,Midwest
74,"Akron, OH",OH,2014-04-01,440.0,116200.37033117672,Midwest
75,"Akron, OH",OH,2014-05-01,580.0,116870.8333479063,Midwest
76,"Akron, OH",OH,2014-06-01,648.0,117536.99436653308,Midwest
77,"Akron, OH",OH,2014-07-01,654.0,118017.21906486462,Midwest
78,"Akron, OH",OH,2014-08-01,618.0,118290.18953938493,Midwest
79,"Akron, OH",OH,2014-09-01,643.0,118385.84374202303,Midwest
80,"Akron, OH",OH,2014-10-01,598.0,118163.7458939501,Midwest
81,"Akron, OH",OH,2014-11-01,456.0,118105.56488787406,Midwest
82,"Akron, OH",OH,2014-12-01,507.0,118276.72451841306,Midwest
83,"Akron, OH",OH,2015-01-01,329.0,118480.65458927148,Midwest
84,"Akron, OH",OH,2015-02-01,333.0,118482.95551162648,Midwest
85,"Akron, OH",OH,2015-03-01,466.0,118496.7879648254,Midwest
86,"Akron, OH",OH,2015-04-01,543.0,118983.88925619698,Midwest
87,"Akron, OH",OH,2015-05-01,672.0,119720.73640598984,Midwest
88,"Akron, OH",OH,2015-06-01,779.0,120463.20293814008,Midwest
89,"Akron, OH",OH,2015-07-01,813.0,121061.1610358354,Midwest
90,"Akron, OH",OH,2015-08-01,755.0,121736.22633168584,Midwest
91,"Akron, OH",OH,2015-09-01,653.0,122360.54025276906,Midwest
92,"Akron, OH",OH,2015-10-01,607.0,122961.50253019434,Midwest
93,"Akron, OH",OH,2015-11-01,449.0,123364.69570871926,Midwest
94,"Akron, OH",OH,2015-12-01,581.0,123964.17938331696,Midwest
95,"Akron, OH",OH,2016-01-01,394.0,124735.72062242417,Midwest
96,"Akron, OH",OH,2016-02-01,387.0,125781.75960185334,Midwest
97,"Akron, OH",OH,2016-03-01,603.0,126344.38710563992,Midwest
98,"Akron, OH",OH,2016-04-01,647.0,126693.71153425353,Midwest
99,"Akron, OH",OH,2016-05-01,727.0,126772.01487222512,Midwest
100,"Akron, OH",OH,2016-06-01,878.0,127147.23688369164,Midwest
101,"Akron, OH",OH,2016-07-01,829.0,127472.44995647664,Midwest
102,"Akron, OH",OH,2016-08-01,796.0,127884.6154844544,Midwest
103,"Akron, OH",OH,2016-09-01,758.0,128280.74188461294,Midwest
104,"Akron, OH",OH,2016-10-01,672.0,128738.69724591794,Midwest
105,"Akron, OH",OH,2016-11-01,602.0,129226.6572116628,Midwest
106,"Akron, OH",OH,2016-12-01,584.0,129910.75636951393,Midwest
107,"Akron, OH",OH,2017-01-01,409.0,130527.3031083782,Midwest
108,"Akron, OH",OH,2017-02-01,439.0,131004.5794516711,Midwest
109,"Akron, OH",OH,2017-03-01,603.0,131377.15692507825,Midwest
110,"Akron, OH",OH,2017-04-01,651.0,131998.24322463505,Midwest
111,"Akron, OH",OH,2017-05-01,856.0,132715.0144935885,Midwest
112,"Akron, OH",OH,2017-06-01,987.0,133556.51743696167,Midwest
113,"Akron, OH",OH,2017-07-01,726.0,134348.86374687162,Midwest
114,"Akron, OH",OH,2017-08-01,893.0,135069.93617271996,Midwest
115,"Akron, OH",OH,2017-09-01,714.0,135591.9009993756,Midwest
116,"Akron, OH",OH,2017-10-01,717.0,136123.69029797032,Midwest
117,"Akron, OH",OH,2017-11-01,645.0,136947.8394639507,Midwest
118,"Akron, OH",OH,2017-12-01,592.0,137804.88505135477,Midwest
119,"Akron, OH",OH,2018-01-01,417.0,138634.42176696792,Midwest
120,"Akron, OH",OH,2018-02-01,417.0,139241.88541452712,Midwest
121,"Akron, OH",OH,2018-03-01,637.0,139914.4708304164,Midwest
122,"Akron, OH",OH,2018-04-01,698.0,140480.20267459503,Midwest
123,"Akron, OH",OH,2018-05-01,925.0,140905.82428753565,Midwest
124,"Akron, OH",OH,2018-06-01,856.0,141237.33895799276,Midwest
125,"Akron, OH",OH,2018-07-01,896.0,141642.25699921596,Midwest
126,"Akron, OH",OH,2018-08-01,901.0,142176.1188695731,Midwest
127,"Akron, OH",OH,2018-09-01,701.0,142871.40139284777,Midwest
128,"Akron, OH",OH,2018-10-01,763.0,143476.89516066664,Midwest
129,"Akron, OH",OH,2018-11-01,657.0,144222.13719949382,Midwest
130,"Akron, OH",OH,2018-12-01,584.0,144910.1426929645,Midwest
131,"Akron, OH",OH,2019-01-01,439.0,145685.1350763596,Midwest
132,"Akron, OH",OH,2019-02-01,443.0,146709.03604707422,Midwest
133,"Akron, OH",OH,2019-03-01,565.0,147688.96899736705,Midwest
134,"Akron, OH",OH,2019-04-01,735.0,148528.08053170767,Midwest
135,"Akron, OH",OH,2019-05-01,823.0,149070.44854976886,Midwest
136,"Akron, OH",OH,2019-06-01,855.0,149717.80104371367,Midwest
137,"Akron, OH",OH,2019-07-01,866.0,150305.53295616215,Midwest
138,"Akron, OH",OH,2019-08-01,873.0,150638.04093952794,Midwest
139,"Akron, OH",OH,2019-09-01,698.0,150926.54680755668,Midwest
140,"Akron, OH",OH,2019-10-01,732.0,151369.81717304653,Midwest
141,"Akron, OH",OH,2019-11-01,549.0,152091.97706978352,Midwest
142,"Akron, OH",OH,2019-12-01,542.0,152704.35748226516,Midwest
143,"Akron, OH",OH,2020-01-01,413.0,153459.76089404066,Midwest
144,"Akron, OH",OH,2020-02-01,450.0,154415.1234629023,Midwest
145,"Akron, OH",OH,2020-03-01,546.0,155603.46076655338,Midwest
146,"Akron, OH",OH,2020-04-01,599.0,156812.17582202228,Midwest
147,"Akron, OH",OH,2020-05-01,599.0,157509.73572678686,Midwest
148,"Akron, OH",OH,2020-06-01,758.0,157971.15800286178,Midwest
149,"Akron, OH",OH,2020-07-01,974.0,158551.30366422693,Midwest
150,"Akron, OH",OH,2020-08-01,907.0,159806.0218703261,Midwest
151,"Akron, OH",OH,2020-09-01,916.0,161821.08682283285,Midwest
152,"Akron, OH",OH,2020-10-01,919.0,164230.68990059616,Midwest
153,"Akron, OH",OH,2020-11-01,786.0,166993.81726090924,Midwest
154,"Akron, OH",OH,2020-12-01,788.0,169536.44631050862,Midwest
155,"Akron, OH",OH,2021-01-01,493.0,171800.96049569736,Midwest
156,"Akron, OH",OH,2021-02-01,483.0,173923.27437007497,Midwest
157,"Akron, OH",OH,2021-03-01,676.0,176119.72420543153,Midwest
158,"Akron, OH",OH,2021-04-01,727.0,178384.63190027492,Midwest
159,"Akron, OH",OH,2021-05-01,787.0,180730.1238043256,Midwest
160,"Akron, OH",OH,2021-06-01,936.0,183223.60765058617,Midwest
